abv,team,primary,qb_rank,rb_rank,wr_rank,te_rank,qb_def_rank,rb_def_rank,wr__def_rank,te_def_rank
ARI,Arizona Cardinals,#97233f,0.64516129,0.741935484,0.64516129,0.064516129,0,0.64516129,0.258064516,0
ATL,Atlanta Falcons,#000000,0.903225806,0.290322581,0.903225806,0.935483871,0.096774194,0.580645161,0.096774194,0.483870968
BAL,Baltimore Ravens,#241773,1,0.483870968,0,0.967741935,0.741935484,0.741935484,0.290322581,0.806451613
BUF,Buffalo Bills,#00338d,0.580645161,0.258064516,0.548387097,0.193548387,0.903225806,0.35483871,0.935483871,0.967741935
CAR,Carolina Panthers,#0085ca,0.129032258,1,0.258064516,0.290322581,0.548387097,0.161290323,0.225806452,0.838709677
CHI,Chicago Bears,#0b162a,0.064516129,0.451612903,0.419354839,0.032258065,0.838709677,0.225806452,0.838709677,0.096774194
CIN,Cincinnati Bengals,#FB4F14,0.451612903,0,0.806451613,0.290322581,0.225806452,0.064516129,0.580645161,0.903225806
CLE,Cleveland Browns,#311D00,0.225806452,0.774193548,0.387096774,0.451612903,0.419354839,0.290322581,0.64516129,0.387096774
DAL,Dallas Cowboys,#003594,0.838709677,0.64516129,0.870967742,0.709677419,0.870967742,0.451612903,0.903225806,0.129032258
DEN,Denver Broncos,#001489,0.096774194,0.580645161,0.161290323,0.387096774,0.935483871,0.709677419,0.967741935,0.612903226
DET,Detroit Lions,#005a8b,0.806451613,0.161290323,0.967741935,0.580645161,0.161290323,0,0.451612903,0.322580645
GB,Green Bay Packers,#203731,0.709677419,0.903225806,0.35483871,0.516129032,0.774193548,0.129032258,0.741935484,0.193548387
HOU,Houston Texans,#03202f,0.935483871,0.322580645,0.741935484,0.774193548,0.129032258,0.677419355,0.129032258,0.709677419
IND,Indianapolis Colts,#002c5f,0.612903226,0.419354839,0.451612903,0.838709677,0.612903226,0.774193548,0.612903226,0.225806452
JAX,Jacksonville Jaguars,#006778,0.548387097,0.35483871,0.677419355,0.258064516,0.483870968,0.516129032,0.548387097,0.516129032
KC,Kansas City Chiefs,#e31837,0.774193548,0.548387097,0.774193548,0.741935484,0.322580645,0.032258065,0.806451613,0.290322581
LAC,Los Angeles Chargers,#002244,0.322580645,0.838709677,0.290322581,0.548387097,0.806451613,0.258064516,0.774193548,0.741935484
LAR,Los Angeles Rams,#002244,0.516129032,0.129032258,0.935483871,0.64516129,0.709677419,0.483870968,0.677419355,0.35483871
MIA,Miami Dolphins,#008e97,0.161290323,0.032258065,0.483870968,0.161290323,0.193548387,0.096774194,0.35483871,0.548387097
MIN,Minnesota Vikings,#4f2683,0.483870968,0.935483871,0.612903226,0.419354839,0.677419355,0.870967742,0.322580645,0.419354839
NE,New England Patriots,#002244,0.677419355,0.870967742,0.709677419,0,1,1,1,0.935483871
NO,New Orleans Saints,#9f8958,0.870967742,0.806451613,0.580645161,0.483870968,0.35483871,0.935483871,0.419354839,0.677419355
NYG,New York Giants,#0b2265,0.387096774,0.225806452,0.516129032,0.870967742,0.258064516,0.322580645,0.064516129,0.774193548
NYJ,New York Jets,#125740,0,0.064516129,0.064516129,0.129032258,0.451612903,0.387096774,0.193548387,0.870967742
OAK,Oakland Raiders,#a5acaf,0.290322581,0.677419355,0.193548387,1,0.064516129,0.548387097,0.032258065,0.064516129
PHI,Philadelphia Eagles,#004953,0.419354839,0.709677419,0.032258065,0.903225806,0.387096774,0.806451613,0.161290323,0.64516129
PIT,Pittsburgh Steelers,#FFB612,0.193548387,0.612903226,0.129032258,0.225806452,0.580645161,0.838709677,0.516129032,0.258064516
SEA,Seattle Seahawks,#002244,0.967741935,0.516129032,0.838709677,0.677419355,0.290322581,0.612903226,0.387096774,0.161290323
SF,San Francisco 49ers,#aa0000,0.258064516,0.967741935,0.096774194,0.806451613,0.967741935,0.903225806,0.870967742,1
TB,Tampa Bay Buccaneers,#d50a0a,0.741935484,0.387096774,1,0.35483871,0.032258065,0.967741935,0,0.032258065
TEN,Tennessee Titans,#002244,0.35483871,0.193548387,0.322580645,0.612903226,0.64516129,0.419354839,0.709677419,0.451612903
WAS,Washington Redskins,#773141,0.032258065,0.096774194,0.225806452,0.096774194,0.516129032,0.193548387,0.483870968,0.580645161
